Activity,Resource,Weekday,Case,Anomaly
a_01_BB_540\\complete,r_560872,wd_0,10294414,0
a_01_BB_770\\complete,r_560872,wd_4,10294414,0
a_01_BB_775\\complete,r_560872,wd_0,10294414,0
a_01_HOOFD_010\\complete,r_560872,wd_2,10294414,0
a_01_HOOFD_011\\complete,r_560872,wd_0,10294414,0
a_01_HOOFD_015\\complete,r_560872,wd_0,10294414,0
a_01_HOOFD_020\\complete,r_560872,wd_0,10294414,0
a_01_HOOFD_030_1\\complete,r_560872,wd_0,10294414,0
a_01_HOOFD_030_2\\complete,r_560872,wd_0,10294414,0
a_01_HOOFD_061\\complete,r_560872,wd_0,10294414,0
a_01_HOOFD_065_0\\complete,r_560872,wd_0,10294414,0
a_01_HOOFD_090\\complete,r_560872,wd_0,10294414,0
a_01_HOOFD_100_0\\complete,r_560872,wd_0,10294414,0
a_01_HOOFD_101\\complete,r_560872,wd_0,10294414,0
a_01_HOOFD_110_0\\complete,r_560872,wd_0,10294414,0
a_01_HOOFD_180\\complete,r_560872,wd_0,10294414,0
a_01_HOOFD_195\\complete,r_560890,wd_0,10294414,0
a_01_HOOFD_200\\complete,r_560890,wd_0,10294414,0
a_01_HOOFD_250_0\\complete,r_560890,wd_0,10294414,0
a_01_HOOFD_330\\complete,r_560890,wd_0,10294414,0
a_01_HOOFD_375\\complete,r_560890,wd_0,10294414,0
a_01_HOOFD_380\\complete,r_560890,wd_0,10294414,0
a_01_HOOFD_430\\complete,r_560890,wd_0,10294414,0
a_01_HOOFD_480\\complete,r_560890,wd_0,10294414,0
a_01_HOOFD_490_1\\complete,r_560890,wd_0,10294414,0
a_01_HOOFD_490_1a\\complete,r_560890,wd_0,10294414,0
a_01_HOOFD_490_2\\complete,r_560890,wd_0,10294414,0
a_01_HOOFD_490_3\\complete,r_560890,wd_0,10294414,0
a_01_HOOFD_490_3a\\complete,r_560890,wd_0,10294414,0
a_01_HOOFD_490_4\\complete,r_560890,wd_0,10294414,0
a_01_HOOFD_495\\complete,r_560890,wd_0,10294414,0
a_01_HOOFD_500\\complete,r_560890,wd_0,10294414,0
a_01_HOOFD_510_0\\complete,r_560890,wd_0,10294414,0
a_01_HOOFD_510_1\\complete,r_560890,wd_0,10294414,0
a_01_HOOFD_510_2\\complete,r_560890,wd_0,10294414,0
a_01_HOOFD_510_2a\\complete,r_560890,wd_0,10294414,0
a_01_HOOFD_510_3\\complete,r_560890,wd_0,10294414,0
a_01_HOOFD_510_4\\complete,r_560890,wd_0,10294414,0
a_01_HOOFD_515\\complete,r_560890,wd_0,10294414,0
a_01_HOOFD_809\\complete,r_560872,wd_0,10294414,0
a_01_HOOFD_809c\\complete,r_560872,wd_0,10294414,0
a_01_HOOFD_810\\complete,r_560872,wd_4,10294414,0
a_01_HOOFD_811\\complete,r_560872,wd_0,10294414,0
a_01_HOOFD_814\\complete,r_560872,wd_0,10294414,0
a_01_HOOFD_815\\complete,r_560872,wd_0,10294414,0
a_01_HOOFD_820\\complete,r_560872,wd_0,10294414,0
a_02_DRZ_010\\complete,r_560872,wd_0,10294414,0
a_04_BPT_005\\complete,r_560872,wd_0,10294414,0
a_08_AWB45_005\\complete,r_560890,wd_0,10294414,0
a_09_AH_I_010\\complete,r_560890,wd_0,10294414,0
a_11_AH_II_010\\complete,r_560890,wd_0,10294414,0
a_13_CRD_010\\complete,r_560890,wd_0,10294414,0
a_01_BB_540\\complete,r_560872,wd_3,10295206,0
a_01_BB_770\\complete,r_560872,wd_3,10295206,0
a_01_BB_775\\complete,r_560872,wd_3,10295206,0
a_01_HOOFD_010\\complete,r_9264148,wd_2,10295206,0
a_01_HOOFD_011\\complete,r_9264148,wd_0,10295206,0
a_01_HOOFD_015\\complete,r_9264148,wd_0,10295206,0
a_01_HOOFD_020\\complete,r_9264148,wd_0,10295206,0
a_01_HOOFD_061\\complete,r_560872,wd_0,10295206,0
a_01_HOOFD_065_0\\complete,r_560872,wd_0,10295206,0
a_01_HOOFD_090\\complete,r_560872,wd_0,10295206,0
a_01_HOOFD_100_0\\complete,r_560872,wd_0,10295206,0
a_01_HOOFD_101\\complete,r_560872,wd_0,10295206,0
a_01_HOOFD_110_0\\complete,r_560872,wd_0,10295206,0
a_01_HOOFD_180\\complete,r_560872,wd_0,10295206,0
a_01_HOOFD_195\\complete,r_560872,wd_3,10295206,0
a_01_HOOFD_200\\complete,r_560872,wd_3,10295206,0
a_01_HOOFD_250_0\\complete,r_560872,wd_3,10295206,0
a_01_HOOFD_330\\complete,r_560872,wd_3,10295206,0
a_01_HOOFD_375\\complete,r_560872,wd_3,10295206,0
a_01_HOOFD_380\\complete,r_560872,wd_3,10295206,0
a_01_HOOFD_430\\complete,r_560872,wd_3,10295206,0
