Activity,Resource,Weekday,Case,Anomaly
1,1,1,1,1
2,1,2,1,1
3,1,1,1,1
4,1,3,1,1
5,1,1,1,1
6,1,1,1,1
7,1,1,1,1
8,1,1,1,1
9,1,1,1,1
10,1,1,1,1
11,1,1,1,1
12,1,1,1,1
13,1,1,1,1
14,1,1,1,1
15,1,1,1,1
16,1,1,1,1
17,2,1,1,1
18,2,1,1,1
19,2,1,1,1
20,2,1,1,1
21,2,1,1,1
22,2,1,1,1
23,2,1,1,1
24,2,1,1,1
25,2,1,1,1
26,2,1,1,1
27,2,1,1,1
28,2,1,1,1
29,2,1,1,1
30,2,1,1,1
31,2,1,1,1
32,2,1,1,1
33,2,1,1,1
34,2,1,1,1
35,2,1,1,1
36,2,1,1,1
37,2,1,1,1
38,2,1,1,1
39,2,1,1,1
40,1,1,1,1
41,1,1,1,1
42,1,2,1,1
43,1,1,1,1
44,1,1,1,1
45,1,1,1,1
46,1,1,1,1
47,1,1,1,1
48,1,1,1,1
49,2,1,1,1
50,2,1,1,1
51,2,1,1,1
52,2,1,1,1
1,1,4,2,1
2,1,4,2,1
3,1,4,2,1
4,3,3,2,1
5,3,1,2,1
6,3,1,2,1
7,3,1,2,1
10,1,1,2,1
11,1,1,2,1
12,1,1,2,1
13,1,1,2,1
14,1,1,2,1
15,1,1,2,1
16,1,1,2,1
17,1,4,2,1
18,1,4,2,1
19,1,4,2,1
20,1,4,2,1
21,1,4,2,1
22,1,4,2,1
23,1,4,2,1
24,1,4,2,1
25,1,4,2,1
26,1,4,2,1
27,1,4,2,1
30,1,4,2,1
53,1,5,2,1
54,1,5,2,1
55,1,4,2,1
56,1,4,2,1
31,1,4,2,1
32,1,4,2,1
33,1,4,2,1
34,1,4,2,1
35,1,1,2,1
36,1,2,2,1
37,1,4,2,1
38,1,4,2,1
39,1,4,2,1
40,1,4,2,1
41,1,4,2,1
42,1,4,2,1
43,1,4,2,1
44,1,4,2,1
45,1,4,2,1
46,1,4,2,1
47,3,1,2,1
48,1,1,2,1
49,1,4,2,1
50,1,4,2,1
51,1,4,2,1
52,1,4,2,1
1,4,5,3,1
2,4,5,3,1
3,4,5,3,1
4,1,5,3,1
5,1,1,3,1
6,1,1,3,1
7,1,1,3,1
8,1,1,3,1
9,1,1,3,1
10,1,1,3,1
11,1,1,3,1
12,1,1,3,1
13,1,1,3,1
14,1,1,3,1
15,1,1,3,1
16,5,3,3,1
17,5,3,3,1
18,5,3,3,1
19,5,3,3,1
20,5,3,3,1
21,5,3,3,1
22,5,3,3,1
23,5,3,3,1
24,5,3,3,1
25,5,3,3,1
26,5,3,3,1
27,5,3,3,1
30,5,3,3,1
53,4,4,3,1
54,4,4,3,1
55,5,3,3,1
56,5,3,3,1
31,4,5,3,1
32,4,5,3,1
33,4,5,3,1
34,4,5,3,1
35,4,4,3,1
36,4,4,3,1
37,4,5,3,1
38,4,5,3,1
39,4,5,3,1
40,4,5,3,1
41,4,5,3,1
43,4,5,3,1
47,1,1,3,1
48,1,1,3,1
49,5,3,3,1
50,5,3,3,1
51,5,3,3,1
52,5,3,3,1
1,1,4,4,1
2,1,2,4,1
3,1,4,4,1
4,3,3,4,1
5,3,4,4,1
6,3,4,4,1
7,3,4,4,1
10,3,4,4,1
11,3,4,4,1
12,3,4,4,1
13,3,4,4,1
14,3,4,4,1
15,3,4,4,1
16,3,1,4,1
17,3,1,4,1
18,3,1,4,1
19,3,1,4,1
20,3,1,4,1
21,3,1,4,1
22,3,1,4,1
23,3,1,4,1
24,3,1,4,1
25,3,1,4,1
26,3,1,4,1
27,3,1,4,1
28,3,5,4,1
29,3,5,4,1
30,3,1,4,1
31,3,1,4,1
32,3,1,4,1
33,3,1,4,1
34,1,4,4,1
35,1,1,4,1
36,1,1,4,1
37,1,4,4,1
38,1,4,4,1
39,1,4,4,1
57,1,4,4,1
40,1,4,4,1
41,1,4,4,1
42,1,2,4,1
