Activity,Resource,Weekday,Case,Anomaly
a_01_BB_540\\complete,r_560458,wd_0,11666570,0
a_01_BB_770\\complete,r_560458,wd_4,11666570,0
a_01_BB_775\\complete,r_560458,wd_0,11666570,0
a_01_HOOFD_010\\complete,r_560458,wd_3,11666570,0
a_01_HOOFD_011\\complete,r_560458,wd_0,11666570,0
a_01_HOOFD_015\\complete,r_560458,wd_0,11666570,0
a_01_HOOFD_020\\complete,r_560458,wd_0,11666570,0
a_01_HOOFD_030_1\\complete,r_560458,wd_0,11666570,0
a_01_HOOFD_030_2\\complete,r_560458,wd_3,11666570,0
a_01_HOOFD_061\\complete,r_560458,wd_0,11666570,0
a_01_HOOFD_065_0\\complete,r_560458,wd_0,11666570,0
a_01_HOOFD_065_1\\complete,r_560458,wd_0,11666570,0
a_01_HOOFD_065_2\\complete,r_560458,wd_3,11666570,0
a_01_HOOFD_101b\\complete,r_560458,wd_0,11666570,0
a_01_HOOFD_110_0\\complete,r_560458,wd_0,11666570,0
a_01_HOOFD_180\\complete,r_560458,wd_0,11666570,0
a_01_HOOFD_195\\complete,r_560458,wd_0,11666570,0
a_01_HOOFD_196\\complete,r_560458,wd_0,11666570,0
a_01_HOOFD_200\\complete,r_560458,wd_0,11666570,0
a_01_HOOFD_250_1\\complete,r_560458,wd_0,11666570,0
a_01_HOOFD_250_2\\complete,r_560458,wd_0,11666570,0
a_01_HOOFD_330\\complete,r_560458,wd_0,11666570,0
a_01_HOOFD_370\\complete,r_560458,wd_0,11666570,0
a_01_HOOFD_375\\complete,r_560458,wd_0,11666570,0
a_01_HOOFD_380\\complete,r_560458,wd_0,11666570,0
a_01_HOOFD_430\\complete,r_560458,wd_0,11666570,0
a_01_HOOFD_480\\complete,r_560458,wd_0,11666570,0
a_01_HOOFD_490_1\\complete,r_560458,wd_0,11666570,0
a_01_HOOFD_490_1a\\complete,r_560458,wd_0,11666570,0
a_01_HOOFD_490_2\\complete,r_560458,wd_0,11666570,0
a_01_HOOFD_490_4\\complete,r_560458,wd_0,11666570,0
a_01_HOOFD_490_5\\complete,r_560458,wd_3,11666570,0
a_01_HOOFD_490_5a\\complete,r_560458,wd_3,11666570,0
a_01_HOOFD_491\\complete,r_560458,wd_0,11666570,0
a_01_HOOFD_494a\\complete,r_560458,wd_0,11666570,0
a_01_HOOFD_495\\complete,r_560458,wd_0,11666570,0
a_01_HOOFD_500\\complete,r_560458,wd_0,11666570,0
a_01_HOOFD_510_0\\complete,r_560458,wd_0,11666570,0
a_01_HOOFD_510_1\\complete,r_560458,wd_0,11666570,0
a_01_HOOFD_510_2\\complete,r_560458,wd_3,11666570,0
a_01_HOOFD_510_2a\\complete,r_560458,wd_3,11666570,0
a_01_HOOFD_510_3\\complete,r_560458,wd_0,11666570,0
a_01_HOOFD_510_4\\complete,r_560458,wd_3,11666570,0
a_01_HOOFD_515\\complete,r_560458,wd_0,11666570,0
a_01_HOOFD_519\\complete,r_560458,wd_0,11666570,0
a_01_HOOFD_809\\complete,r_560458,wd_0,11666570,0
a_01_HOOFD_810\\complete,r_560458,wd_4,11666570,0
a_01_HOOFD_811\\complete,r_560458,wd_0,11666570,0
a_01_HOOFD_814\\complete,r_560458,wd_0,11666570,0
a_01_HOOFD_815\\complete,r_560458,wd_0,11666570,0
a_01_HOOFD_820\\complete,r_560458,wd_0,11666570,0
a_02_DRZ_010\\complete,r_560458,wd_0,11666570,0
a_03_GBH_005\\complete,r_560458,wd_0,11666570,0
a_04_BPT_005\\complete,r_560458,wd_0,11666570,0
a_08_AWB45_005\\complete,r_560458,wd_0,11666570,0
a_09_AH_I_010\\complete,r_560458,wd_0,11666570,0
a_11_AH_II_010\\complete,r_560458,wd_0,11666570,0
a_13_CRD_010\\complete,r_560458,wd_0,11666570,0
a_16_LGSD_010\\complete,r_560458,wd_0,11666570,0
a_16_LGSV_010\\complete,r_560458,wd_0,11666570,0
a_01_BB_540\\complete,r_560521,wd_0,12610928,0
a_01_BB_765\\complete,r_560521,wd_0,12610928,0
a_01_BB_770\\complete,r_560521,wd_0,12610928,0
a_01_HOOFD_010\\complete,r_560532,wd_4,12610928,0
a_01_HOOFD_011\\complete,r_560532,wd_1,12610928,0
a_01_HOOFD_015\\complete,r_560532,wd_1,12610928,0
a_01_HOOFD_020\\complete,r_560532,wd_1,12610928,0
a_01_HOOFD_030_1\\complete,r_560532,wd_1,12610928,0
a_01_HOOFD_030_2\\complete,r_560532,wd_1,12610928,0
a_01_HOOFD_050\\complete,r_560532,wd_1,12610928,0
a_01_HOOFD_065_1\\complete,r_560532,wd_1,12610928,0
a_01_HOOFD_065_2\\complete,r_560532,wd_1,12610928,0
a_01_HOOFD_101\\complete,r_560532,wd_1,12610928,0
a_01_HOOFD_110\\complete,r_560530,wd_1,12610928,0
a_01_HOOFD_120\\complete,r_560530,wd_1,12610928,0
a_01_HOOFD_180\\complete,r_560530,wd_1,12610928,0
a_01_HOOFD_195\\complete,r_560530,wd_1,12610928,0
a_01_HOOFD_200\\complete,r_560530,wd_1,12610928,0
a_01_HOOFD_250\\complete,r_560530,wd_1,12610928,0
a_01_HOOFD_260\\complete,r_560530,wd_1,12610928,0
a_01_HOOFD_330\\complete,r_560530,wd_1,12610928,0
a_01_HOOFD_370\\complete,r_560530,wd_1,12610928,0
a_01_HOOFD_375\\complete,r_560530,wd_1,12610928,0
a_01_HOOFD_380\\complete,r_560530,wd_1,12610928,0
a_01_HOOFD_430\\complete,r_560530,wd_1,12610928,0
a_01_HOOFD_480\\complete,r_560530,wd_1,12610928,0
a_01_HOOFD_490_1\\complete,r_560530,wd_1,12610928,0
a_01_HOOFD_490_2\\complete,r_560530,wd_1,12610928,0
a_01_HOOFD_491\\complete,r_560530,wd_1,12610928,0
a_01_HOOFD_495\\complete,r_560530,wd_1,12610928,0
a_01_HOOFD_510_1\\complete,r_560530,wd_1,12610928,0
a_01_HOOFD_510_2\\complete,r_560530,wd_1,12610928,0
a_01_HOOFD_520\\complete,r_560530,wd_1,12610928,0
a_01_HOOFD_530\\complete,r_560530,wd_4,12610928,0
a_01_HOOFD_810\\complete,r_560521,wd_1,12610928,0
a_01_HOOFD_820\\complete,r_560521,wd_0,12610928,0
a_02_DRZ_010\\complete,r_560532,wd_1,12610928,0
a_03_GBH_005\\complete,r_560532,wd_1,12610928,0
a_04_BPT_005\\complete,r_560532,wd_1,12610928,0
a_05_EIND_010\\complete,r_560532,wd_1,12610928,0
a_06_VD_010\\complete,r_560532,wd_1,12610928,0
a_07_OPS_010\\complete,r_560532,wd_1,12610928,0
a_09_AH_I_010\\complete,r_560530,wd_1,12610928,0
a_09_AWB45_005\\complete,r_560530,wd_1,12610928,0
a_11_AH_II_010\\complete,r_560530,wd_1,12610928,0
a_15_NGV_010\\complete,r_560530,wd_1,12610928,0
a_01_BB_540\\complete,r_560458,wd_1,15073705,0
a_01_BB_765\\complete,r_560458,wd_1,15073705,0
a_01_BB_770\\complete,r_560458,wd_1,15073705,0
a_01_HOOFD_010\\complete,r_560532,wd_4,15073705,0
a_01_HOOFD_011\\complete,r_560532,wd_0,15073705,0
a_01_HOOFD_015\\complete,r_560532,wd_0,15073705,0
a_01_HOOFD_020\\complete,r_560532,wd_0,15073705,0
a_01_HOOFD_030_1\\complete,r_560532,wd_0,15073705,0
a_01_HOOFD_030_2\\complete,r_560532,wd_0,15073705,0
a_01_HOOFD_050\\complete,r_560530,wd_3,15073705,0
a_01_HOOFD_055\\complete,r_560530,wd_3,15073705,0
a_01_HOOFD_065_1\\complete,r_560532,wd_0,15073705,0
a_01_HOOFD_065_2\\complete,r_560532,wd_0,15073705,0
a_01_HOOFD_101\\complete,r_560532,wd_0,15073705,0
a_01_HOOFD_110\\complete,r_560530,wd_3,15073705,0
a_01_HOOFD_110_2\\complete,r_560530,wd_3,15073705,0
a_01_HOOFD_180\\complete,r_560530,wd_3,15073705,0
a_01_HOOFD_195\\complete,r_560530,wd_3,15073705,0
a_01_HOOFD_196\\complete,r_560530,wd_3,15073705,0
a_01_HOOFD_200\\complete,r_560530,wd_3,15073705,0
a_01_HOOFD_250_1\\complete,r_560530,wd_3,15073705,0
a_01_HOOFD_250_2\\complete,r_560530,wd_3,15073705,0
a_01_HOOFD_370\\complete,r_560530,wd_3,15073705,0
