Activity,Resource,Weekday,Case,Anomaly
0,3,0,1,0
26,3,4,1,0
27,3,0,1,0
28,3,3,1,0
29,3,0,1,0
31,3,0,1,0
32,3,0,1,0
33,3,0,1,0
34,3,3,1,0
39,3,0,1,0
40,3,0,1,0
41,3,0,1,0
42,3,3,1,0
49,3,0,1,0
51,3,0,1,0
56,3,0,1,0
64,3,0,1,0
67,3,0,1,0
69,3,0,1,0
76,3,0,1,0
77,3,0,1,0
80,3,0,1,0
86,3,0,1,0
87,3,0,1,0
88,3,0,1,0
95,3,0,1,0
109,3,0,1,0
110,3,0,1,0
111,3,0,1,0
112,3,0,1,0
115,3,0,1,0
116,3,3,1,0
117,3,3,1,0
118,3,0,1,0
122,3,0,1,0
123,3,0,1,0
124,3,0,1,0
126,3,0,1,0
127,3,0,1,0
128,3,3,1,0
129,3,3,1,0
130,3,0,1,0
131,3,3,1,0
132,3,0,1,0
135,3,0,1,0
152,3,0,1,0
155,3,4,1,0
156,3,0,1,0
157,3,0,1,0
158,3,0,1,0
159,3,0,1,0
165,3,0,1,0
170,3,0,1,0
172,3,0,1,0
231,3,0,1,0
276,3,0,1,0
316,3,0,1,0
355,3,0,1,0
363,3,0,1,0
364,3,0,1,0
0,5,0,2,0
24,5,0,2,0
26,5,0,2,0
28,8,4,2,0
29,8,1,2,0
31,8,1,2,0
32,8,1,2,0
33,8,1,2,0
34,8,1,2,0
36,8,1,2,0
41,8,1,2,0
42,8,1,2,0
48,8,1,2,0
50,7,1,2,0
54,7,1,2,0
56,7,1,2,0
64,7,1,2,0
69,7,1,2,0
74,7,1,2,0
78,7,1,2,0
80,7,1,2,0
86,7,1,2,0
87,7,1,2,0
88,7,1,2,0
95,7,1,2,0
109,7,1,2,0
110,7,1,2,0
112,7,1,2,0
118,7,1,2,0
123,7,1,2,0
127,7,1,2,0
128,7,1,2,0
136,7,1,2,0
137,7,4,2,0
155,5,1,2,0
159,5,0,2,0
165,8,1,2,0
170,8,1,2,0
172,8,1,2,0
183,8,1,2,0
196,8,1,2,0
221,8,1,2,0
276,7,1,2,0
277,7,1,2,0
316,7,1,2,0
362,7,1,2,0
0,3,1,4,0
24,3,1,4,0
26,3,1,4,0
28,8,4,4,0
29,8,0,4,0
31,8,0,4,0
32,8,0,4,0
33,8,0,4,0
34,8,0,4,0
36,7,3,4,0
37,7,3,4,0
41,8,0,4,0
42,8,0,4,0
48,8,0,4,0
50,7,3,4,0
53,7,3,4,0
56,7,3,4,0
64,7,3,4,0
67,7,3,4,0
69,7,3,4,0
76,7,3,4,0
77,7,3,4,0
86,7,3,4,0
87,7,3,4,0
88,7,3,4,0
95,7,3,4,0
109,7,3,4,0
110,7,3,4,0
113,8,0,4,0
115,7,3,4,0
123,8,0,4,0
125,8,0,4,0
127,8,0,4,0
128,8,0,4,0
136,8,0,4,0
137,8,4,4,0
151,3,1,4,0
155,3,1,4,0
165,8,0,4,0
170,8,0,4,0
172,8,0,4,0
183,8,0,4,0
196,8,0,4,0
221,5,1,4,0
222,5,1,4,0
223,5,1,4,0
224,5,1,4,0
225,5,1,4,0
226,5,1,4,0
227,7,3,4,0
228,7,3,4,0
229,7,3,4,0
230,7,3,4,0
231,7,3,4,0
276,7,3,4,0
316,7,3,4,0
0,3,1,5,0
26,3,1,5,0
27,3,1,5,0
28,4,3,5,0
29,4,0,5,0
31,4,0,5,0
32,4,0,5,0
33,4,0,5,0
34,4,4,5,0
39,4,0,5,0
41,4,0,5,0
42,4,4,5,0
45,4,0,5,0
52,4,0,5,0
53,4,0,5,0
56,4,0,5,0
64,4,0,5,0
67,4,0,5,0
69,4,0,5,0
76,4,0,5,0
77,4,0,5,0
80,4,0,5,0
86,4,0,5,0
87,4,0,5,0
88,4,0,5,0
95,4,0,5,0
109,4,0,5,0
110,4,0,5,0
112,4,0,5,0
115,4,0,5,0
116,4,3,5,0
118,4,0,5,0
123,4,0,5,0
124,4,0,5,0
127,4,0,5,0
128,4,3,5,0
130,4,0,5,0
131,4,0,5,0
